record_point,rotation_different,animator_rotation,agent_rotation,reward
0, 0, 2729421, 2729421, 0.7845322
1, 3.715612, 2519777, 2620173, 0.7907192
2, 13.50774, 2597773, 3094462, 0.7345924
3, 14.49807, 2600162, 2688518, 0.7685051
4, 10.49716, 2602331, 2993273, 0.7546545
5, 9.926745, 2603506, 2959709, 0.7348094
6, 13.26, 2598448, 2858152, 0.7686653
7, 12.5565, 2463226, 2996927, 0.7801955
8, 12.02341, 2469984, 3196943, 0.7594773
9, 12.04091, 2473075, 2811335, 0.7655295
10, 9.717159, 2604378, 2917842, 0.7900012
11, 8.150824, 2606713, 2838521, 0.7974342
12, 7.08567, 2610180, 2936553, 0.7879999
13, 9.359892, 2614723, 2634354, 0.7894443
14, 11.7884, 2488288, 2681180, 0.7866612
15, 10.72237, 2487727, 2882965, 0.7917445
16, 9.506849, 2486327, 2682495, 0.7822839
17, 13.13253, 2606266, 2984795, 0.7687452
18, 12.85192, 2594583, 2983785, 0.7905954
19, 12.64938, 2581696, 2836405, 0.7918633
20, 10.09085, 2565465, 2860852, 0.7958775
21, 8.125127, 2552526, 2982388, 0.798238
22, 8.54336, 2410790, 3063071, 0.7942454
23, 9.698148, 2273073, 2908593, 0.800309
24, 9.101472, 2635549, 3052164, 0.796148
25, 8.638001, 2608331, 2801466, 0.7934796
26, 9.827292, 2587536, 3234454, 0.7926973
27, 13.54928, 2572422, 3155336, 0.783132
28, 14.49768, 2563953, 3078897, 0.7893689
29, 14.26727, 2558992, 3026081, 0.7887372
30, 13.71337, 2556499, 3125243, 0.7912267
31, 11.61809, 2557217, 3013485, 0.7947341
32, 10.21723, 2688469, 3221954, 0.7998408
33, 10.24622, 2691623, 3158273, 0.7980338
34, 11.7877, 2564725, 3196407, 0.7963486
35, 12.28697, 2696256, 3023054, 0.7948756
36, 11.98814, 2566027, 2483030, 0.7915598
37, 12.10094, 2564449, 2777004, 0.7913442
38, 13.82169, 2562447, 2970813, 0.7858853
39, 17.71547, 2559167, 3175747, 0.7701356
40, 21.46935, 2555262, 3068084, 0.766821
41, 21.24107, 2550561, 3078032, 0.770477
42, 19.87573, 2542535, 2971717, 0.7727285
43, 16.69452, 2560185, 2605098, 0.7791704
