record_point,rotation_different,animator_rotation,agent_rotation,reward
0, 0, 2729421, 2729421, 0.7897625
1, 3.523178, 2519777, 2512184, 0.787849
2, 12.65798, 2597773, 3080569, 0.7431582
3, 13.2252, 2600162, 2944683, 0.7743781
4, 11.32719, 2602331, 2808542, 0.7451883
5, 9.212259, 2603506, 2803272, 0.7401161
6, 11.89659, 2598448, 2981220, 0.7752767
7, 9.789531, 2463226, 2870183, 0.7902778
8, 7.890487, 2469984, 2970103, 0.7759185
9, 8.162331, 2473075, 2889581, 0.78579
10, 8.181537, 2604378, 2807359, 0.8015855
11, 7.318015, 2606713, 2548184, 0.7998305
12, 7.771985, 2610180, 3047592, 0.7892691
13, 11.52563, 2614723, 3411165, 0.7759714
14, 16.0085, 2488288, 3456851, 0.7756392
15, 13.77561, 2487727, 3276870, 0.7751703
16, 9.609517, 2486327, 3148964, 0.7827544
17, 8.263577, 2606266, 2951703, 0.78657
18, 10.72483, 2594583, 3127505, 0.7860242
19, 12.58115, 2581696, 2659005, 0.7841477
20, 11.68666, 2565465, 2615784, 0.7887647
21, 12.33408, 2552526, 2853408, 0.7882769
22, 14.10586, 2410790, 3055053, 0.7822867
23, 16.20477, 2273073, 3073880, 0.7742716
24, 14.34128, 2635549, 3026331, 0.7805831
25, 11.38792, 2608331, 2987018, 0.7860892
26, 9.888306, 2587536, 3096428, 0.7859533
27, 12.87134, 2572422, 2896105, 0.7867716
28, 13.29225, 2563953, 2672189, 0.7884914
29, 11.75681, 2558992, 2678836, 0.7961984
30, 11.26, 2556499, 2783375, 0.7943641
31, 11.49308, 2557217, 3012779, 0.7948912
32, 14.23425, 2688469, 3194171, 0.7897766
33, 16.09182, 2691623, 3172624, 0.788019
34, 16.00221, 2564725, 2686362, 0.7752641
35, 16.11159, 2696256, 2502177, 0.7753837
36, 18.58063, 2566027, 2860894, 0.7657962
37, 23.82049, 2564449, 3093514, 0.7529636
38, 25.03308, 2562447, 2933405, 0.7589982
39, 23.56114, 2559167, 3440357, 0.7570829
40, 19.99719, 2555262, 3306022, 0.7686678
41, 16.55211, 2550561, 3548735, 0.7771773
42, 13.85991, 2542535, 3040791, 0.7803264
43, 12.04677, 2560185, 3246085, 0.7834884
44, 10.55201, 2394218, 3148309, 0.7892061
45, 10.83671, 2255413, 2971024, 0.7896882
46, 11.06748, 2259279, 2970143, 0.7791901
47, 11.38488, 2394616, 2495019, 0.7798875
48, 13.28733, 2394249, 2444375, 0.7815298
49, 16.3009, 2401289, 3145247, 0.7740472
50, 14.18035, 2407247, 3136966, 0.7855508
51, 10.85755, 2425438, 2886243, 0.7863964
52, 9.900406, 2578183, 2781932, 0.7783805
53, 9.904264, 2862888, 2722855, 0.7890878
