record_point,rotation_different,animator_rotation,agent_rotation,reward
0, 0, 2729421, 2729421, 0.7906035
1, 3.158153, 2519777, 2346474, 0.7901647
2, 12.96563, 2597773, 2960228, 0.7396788
3, 14.06395, 2600162, 2843669, 0.7712277
4, 11.04949, 2602331, 2788294, 0.7433233
5, 9.520154, 2603506, 2785501, 0.7514199
6, 13.84862, 2598448, 2495227, 0.7641248
7, 12.89693, 2463226, 2699288, 0.7742946
8, 11.31468, 2469984, 3027089, 0.7694172
9, 11.30341, 2473075, 2796985, 0.7792029
10, 10.95163, 2604378, 3030674, 0.7792742
11, 10.99212, 2606713, 2929937, 0.7849521
12, 13.03976, 2610180, 2933558, 0.7770965
13, 14.3567, 2614723, 2935768, 0.7765619
14, 13.01668, 2488288, 2930421, 0.7827566
15, 12.87479, 2487727, 2655787, 0.781343
16, 16.71183, 2486327, 2957134, 0.7629153
17, 16.95353, 2606266, 2878671, 0.7776044
18, 14.09173, 2594583, 3070320, 0.7886809
19, 11.19884, 2581696, 3182028, 0.7984096
20, 9.191613, 2565465, 2837187, 0.8015923
21, 8.728109, 2552526, 2794690, 0.8017845
22, 8.160207, 2410790, 2940794, 0.8039366
23, 7.651731, 2273073, 2856989, 0.803344
24, 8.090165, 2635549, 2754863, 0.8000117
25, 9.599422, 2608331, 3051670, 0.7997037
26, 11.31826, 2587536, 2652035, 0.7963452
27, 10.98128, 2572422, 3067097, 0.7989886
28, 9.624479, 2563953, 3064821, 0.800202
29, 9.157334, 2558992, 2994152, 0.8010771
30, 10.48682, 2556499, 3068751, 0.7958032
31, 10.50086, 2557217, 2908639, 0.7984682
32, 10.01435, 2688469, 2826088, 0.7940059
33, 11.07187, 2691623, 3126308, 0.7843711
34, 14.51621, 2564725, 3047448, 0.7719853
35, 16.00465, 2696256, 2797081, 0.7765836
36, 14.5535, 2566027, 2931598, 0.7782891
37, 12.3004, 2564449, 3175478, 0.7834634
38, 11.55661, 2562447, 3009217, 0.7863399
39, 12.44903, 2559167, 2947869, 0.7871756
40, 12.2046, 2555262, 3038953, 0.7886851
41, 11.10214, 2550561, 2989289, 0.7818122
42, 12.20234, 2542535, 3116726, 0.7842715
43, 15.59212, 2560185, 2932395, 0.7805247
44, 15.09781, 2394218, 3082904, 0.7879294
45, 13.98556, 2255413, 3091354, 0.7902569
46, 11.84233, 2259279, 2972752, 0.7944332
47, 10.03937, 2394616, 3202799, 0.7979222
48, 9.168356, 2394249, 3112454, 0.8023242
49, 9.191048, 2401289, 2917687, 0.8053427
