record_point,rotation_different,animator_rotation,agent_rotation,reward
0, 0, 2729421, 2729421, 0.7879759
1, 2.499607, 2519777, 2664404, 0.7970435
2, 11.5174, 2597773, 3258280, 0.7433713
3, 12.04136, 2600162, 2852186, 0.7741601
4, 9.847241, 2602331, 2429438, 0.7323364
5, 11.60103, 2603506, 2364576, 0.7324226
6, 16.52996, 2598448, 2675695, 0.7563229
7, 13.88558, 2463226, 2739535, 0.7752452
8, 11.06759, 2469984, 2531072, 0.7678316
9, 8.99178, 2473075, 2644338, 0.784095
10, 8.52346, 2604378, 2994971, 0.7989069
11, 12.17065, 2606713, 2820166, 0.7697133
12, 16.75229, 2610180, 3281975, 0.7603239
13, 16.94437, 2614723, 3122840, 0.7713602
14, 14.84759, 2488288, 2371114, 0.7680025
15, 15.23796, 2487727, 2308251, 0.765346
16, 15.22196, 2486327, 1955987, 0.7724459
17, 13.95571, 2606266, 1950338, 0.7798741
18, 13.60228, 2594583, 2303359, 0.7668552
19, 16.37778, 2581696, 2972734, 0.747338
20, 22.76778, 2565465, 2953762, 0.7176133
21, 22.85503, 2552526, 3007773, 0.7298315
22, 19.04188, 2410790, 2930498, 0.7409586
23, 14.5425, 2273073, 3008367, 0.7528176
24, 14.70161, 2635549, 2829167, 0.7567171
25, 14.70381, 2608331, 2805800, 0.7465959
26, 16.20543, 2587536, 2612573, 0.7574839
27, 14.27844, 2572422, 2548253, 0.7700496
28, 15.35898, 2563953, 2603617, 0.7679363
29, 17.98712, 2558992, 2755917, 0.7539939
30, 19.06731, 2556499, 3185572, 0.7434012
31, 15.28182, 2557217, 3091404, 0.7448643
32, 10.58146, 2688469, 3007695, 0.7741649
33, 11.93482, 2691623, 2860015, 0.7729154
34, 16.6011, 2564725, 2919701, 0.7486218
35, 23.02822, 2696256, 2743286, 0.7315906
36, 22.3306, 2566027, 2796108, 0.7498028
37, 19.3096, 2564449, 2760003, 0.7414107
38, 18.72816, 2562447, 2900521, 0.7399023
39, 23.28672, 2559167, 3406031, 0.7225292
40, 19.78814, 2555262, 2967081, 0.7455394
41, 14.42238, 2550561, 3357295, 0.7372917
42, 12.4229, 2542535, 3162954, 0.7509435
43, 16.27234, 2560185, 3078306, 0.7422957
44, 19.65069, 2394218, 2727111, 0.7267299
45, 19.65536, 2255413, 2898112, 0.762166
46, 16.19701, 2259279, 2840580, 0.7653791
47, 13.52094, 2394616, 2688677, 0.7568423
48, 12.07477, 2394249, 2653164, 0.7592364
49, 13.50464, 2401289, 3193007, 0.7523552
50, 16.2077, 2407247, 3290071, 0.7271473
51, 15.90225, 2425438, 3037309, 0.7385473
52, 14.7396, 2578183, 2931156, 0.7425647
53, 17.04088, 2862888, 3198514, 0.7410051
54, 17.4585, 2754198, 3084588, 0.740544
55, 15.93589, 2766808, 2644581, 0.7415498
56, 12.57155, 2767339, 2535064, 0.7496294
57, 11.14647, 2764853, 2689255, 0.75683
58, 12.52986, 2756626, 3423251, 0.7522993
59, 15.8841, 2618978, 3040937, 0.7344426
60, 14.52014, 2610001, 2413910, 0.7312639
61, 15.67719, 2622407, 2379909, 0.7344371
62, 21.94796, 2757481, 2508933, 0.7253461
63, 30.77514, 2753426, 2334365, 0.698591
64, 30.136, 2487112, 2398298, 0.709247
65, 24.24345, 2473367, 2369894, 0.7297465
66, 19.72345, 2589954, 2642784, 0.7499151
67, 17.12708, 2582654, 3026197, 0.7481117
68, 23.01699, 2586271, 2968171, 0.7033426
69, 21.04113, 2489335, 3305616, 0.7194616
70, 18.77696, 2607253, 2810019, 0.7320611
71, 14.7841, 2624903, 2802123, 0.7228516
72, 19.8571, 2638911, 2442406, 0.7185928
73, 27.0685, 2636592, 2279325, 0.7238185
74, 21.71644, 2749886, 2733071, 0.7428373
75, 19.25837, 2589472, 2502191, 0.7356175
76, 14.52522, 2804411, 2656297, 0.7403958
77, 14.51242, 3033674, 2530073, 0.7168785
78, 17.24855, 3014173, 2736040, 0.7307374
79, 19.23137, 3005318, 2687662, 0.7404757
80, 21.51078, 3001415, 2414393, 0.7155676
81, 30.47631, 3000924, 2409470, 0.6605442
82, 36.47748, 2999874, 2658895, 0.6630718
83, 34.92715, 2999873, 2567590, 0.6879169
84, 33.97001, 2998853, 2615956, 0.7061203
85, 36.25182, 2866359, 2945820, 0.6856737
86, 33.23724, 2867436, 3077072, 0.6695552
87, 36.59963, 2882273, 3037537, 0.6725349
88, 50.58936, 3033178, 2293565, 0.6210755
89, 50.20332, 3047188, 2488561, 0.6432
90, 49.7267, 3058091, 2553750, 0.6410868
91, 54.89039, 3064840, 2575767, 0.6309259
92, 54.21462, 3199349, 2525216, 0.6369366
93, 52.792, 3199095, 2482665, 0.6356436
94, 55.1667, 3198138, 2550205, 0.6150174
95, 58.02472, 3196795, 3092993, 0.6182516
96, 56.01843, 3195065, 3026804, 0.6174475
97, 55.04535, 3193814, 3035109, 0.6142722
98, 53.68312, 3062188, 2969603, 0.603541
99, 55.59456, 3060262, 2735444, 0.5936155
100, 0, 2729421, 2729421, 0.5936155
101, 0, 2729421, 2729421, 0.7818885
102, 2.629751, 2519777, 2438924, 0.8152094
103, 4.149578, 2597773, 3033556, 0.8106669
104, 6.476767, 2600162, 2938997, 0.8069937
105, 5.940348, 2602331, 3047947, 0.8074777
106, 8.608396, 2603506, 3213739, 0.7844215
