record_point,rotation_different,animator_rotation,agent_rotation,reward
0, 0, 2729421, 2729421, 0.7917463
1, 3.502903, 2519777, 2498774, 0.7902051
2, 12.38059, 2597773, 3086059, 0.7507722
3, 13.42919, 2600162, 2986114, 0.7748129
4, 11.56469, 2602331, 2759868, 0.7475023
5, 10.41903, 2603506, 2785128, 0.7521309
6, 13.47145, 2598448, 2603424, 0.7739876
7, 11.07473, 2463226, 2880170, 0.7828208
8, 10.32416, 2469984, 3004831, 0.7735149
9, 10.62996, 2473075, 3029447, 0.7739111
10, 9.812325, 2604378, 2846560, 0.791787
11, 9.456687, 2606713, 2668189, 0.7967924
12, 8.308419, 2610180, 2550257, 0.7825893
13, 11.78775, 2614723, 2433676, 0.776922
14, 15.72096, 2488288, 2904203, 0.7680484
15, 16.41501, 2487727, 2967176, 0.7690367
16, 17.56428, 2486327, 3241311, 0.7661054
17, 17.95837, 2606266, 3305401, 0.7688298
18, 17.21767, 2594583, 2844913, 0.7739823
19, 15.64971, 2581696, 2961699, 0.7851716
20, 15.16227, 2565465, 2889353, 0.7827432
21, 15.15132, 2552526, 2891390, 0.7826337
22, 14.93208, 2410790, 3005846, 0.7832176
23, 11.7751, 2273073, 2887746, 0.7892331
24, 10.15626, 2635549, 3049401, 0.7885858
25, 10.29833, 2608331, 2876107, 0.7904808
26, 12.57971, 2587536, 2783401, 0.7829558
27, 11.97113, 2572422, 2740051, 0.7888685
28, 10.74135, 2563953, 3129625, 0.7923756
29, 11.14826, 2558992, 3072598, 0.7875822
30, 13.42735, 2556499, 3144918, 0.7806795
31, 14.4452, 2557217, 3199070, 0.7733628
32, 14.30514, 2688469, 2733577, 0.7783905
33, 15.81511, 2691623, 2833724, 0.7741503
34, 19.74866, 2564725, 2879559, 0.7655576
35, 21.74101, 2696256, 2882655, 0.7706817
36, 19.17048, 2566027, 2857980, 0.7766464
37, 15.96228, 2564449, 2978029, 0.7799837
38, 13.53609, 2562447, 3091147, 0.7882155
39, 13.77879, 2559167, 3172307, 0.7838855
40, 15.08998, 2555262, 2698859, 0.7819018
41, 16.51208, 2550561, 2729074, 0.7827516
42, 16.34125, 2542535, 2743390, 0.7790014
43, 16.59163, 2560185, 3098588, 0.7792059
44, 17.71489, 2394218, 2919176, 0.7725579
45, 20.78293, 2255413, 3109829, 0.7630131
46, 21.26055, 2259279, 3110897, 0.7681443
47, 20.03774, 2394616, 3103467, 0.7737188
48, 16.98855, 2394249, 3373561, 0.7807949
49, 13.47189, 2401289, 3314719, 0.7887565
50, 10.61486, 2407247, 3253328, 0.7959402
51, 9.562193, 2425438, 3752173, 0.8030506
52, 8.958396, 2578183, 3382702, 0.8030125
53, 8.002676, 2862888, 3134410, 0.7989278
54, 8.761075, 2754198, 3128277, 0.7976617
55, 11.17855, 2766808, 2927631, 0.7909431
56, 11.38883, 2767339, 2949259, 0.7903801
57, 10.34315, 2764853, 2978385, 0.7894137
58, 9.413608, 2756626, 3024434, 0.7837389
59, 9.678256, 2618978, 3123737, 0.7879411
60, 10.24622, 2610001, 3253991, 0.7904477
61, 9.652146, 2622407, 2979578, 0.7978227
62, 8.834187, 2757481, 2732602, 0.7870026
63, 9.931371, 2753426, 2659909, 0.7959253
64, 11.37747, 2487112, 2820467, 0.796198
65, 10.62198, 2473367, 2841959, 0.800888
66, 9.355935, 2589954, 2941375, 0.8044976
67, 8.750036, 2582654, 3187723, 0.8019576
68, 9.655875, 2586271, 2975620, 0.7941974
69, 10.2895, 2489335, 3052430, 0.7949615
70, 10.1273, 2607253, 3321541, 0.7928225
71, 9.781296, 2624903, 3077646, 0.7878636
72, 11.15736, 2638911, 2979930, 0.7867621
73, 13.29448, 2636592, 2987327, 0.7882618
74, 13.40313, 2749886, 2981629, 0.7920536
75, 12.25602, 2589472, 2992827, 0.7917876
76, 11.57328, 2804411, 3333666, 0.7884185
77, 12.53646, 3033674, 2875638, 0.7833971
78, 13.04977, 3014173, 3258542, 0.7833249
79, 11.91737, 3005318, 3336221, 0.786615
80, 11.62089, 3001415, 2995399, 0.7812228
81, 15.65889, 3000924, 2853269, 0.7675122
82, 17.33829, 2999874, 2651616, 0.770055
83, 16.89415, 2999873, 2898778, 0.7730991
84, 15.09982, 2998853, 3033385, 0.772934
85, 13.32887, 2866359, 3017901, 0.7737958
86, 12.51131, 2867436, 3184372, 0.7795903
87, 12.99139, 2882273, 3026312, 0.7825952
88, 13.02401, 3033178, 2904790, 0.7848465
89, 13.11833, 3047188, 2791674, 0.7825842
90, 14.11628, 3058091, 2724276, 0.7777692
91, 16.7144, 3064840, 2792794, 0.7684838
92, 18.44314, 3199349, 2830139, 0.763858
93, 16.54044, 3199095, 3205255, 0.766677
94, 15.3026, 3198138, 3437306, 0.770513
95, 14.77847, 3196795, 3098664, 0.7680588
96, 14.95491, 3195065, 3429206, 0.7707157
97, 15.12839, 3193814, 3041937, 0.7708988
98, 16.77057, 3062188, 2684816, 0.7583865
99, 21.00523, 3060262, 2738624, 0.7579898
