record_point,rotation_different,animator_rotation,agent_rotation,reward
0, 0, 1432.988, 1432.99, 0.7875072
1, 4.201643, 1432.449, 1417.609, 0.7823256
2, 12.29833, 1432.189, 1523.877, 0.7472674
3, 13.79209, 1432.266, 1617.081, 0.7728983
4, 10.84569, 1433.04, 1605.841, 0.7509381
5, 10.33185, 1434.454, 1582.356, 0.7368628
6, 13.08972, 1435.877, 1697.977, 0.7743551
7, 11.97921, 1437.455, 1807.648, 0.7735402
8, 12.75208, 1439.272, 1770.555, 0.7579596
9, 13.71911, 1441.412, 1620.885, 0.7659821
10, 11.18972, 1443.876, 1518.414, 0.7870508
11, 9.260258, 1446.648, 1463.966, 0.7871384
12, 9.37089, 1449.682, 1426.561, 0.7760981
13, 13.04099, 1452.991, 1452.947, 0.7765123
14, 17.11841, 1456.369, 1528.488, 0.7677103
15, 14.54176, 1459.862, 1509.736, 0.7742863
16, 10.75895, 1460.453, 1483.573, 0.7833674
17, 11.47818, 1459.813, 1486.294, 0.7729956
18, 12.83986, 1459.353, 1537.338, 0.7707421
19, 10.73671, 1459.453, 1533.375, 0.8017535
20, 8.740663, 1460.284, 1476.378, 0.8063194
21, 7.381343, 1460.725, 1400.438, 0.8067278
22, 7.49668, 1461.553, 1420.671, 0.8002328
23, 8.289539, 1462.025, 1455.514, 0.7958943
24, 9.778829, 1463.319, 1475.744, 0.7910822
25, 8.57982, 1465.317, 1469.305, 0.7892318
26, 9.358196, 1466.895, 1477.072, 0.7865085
27, 13.25721, 1469.078, 1527.756, 0.7738703
28, 15.41686, 1469.724, 1527.287, 0.7743117
29, 16.07569, 1470.535, 1546.192, 0.7711204
30, 15.69141, 1471.967, 1536.752, 0.7749854
31, 14.54159, 1471.973, 1503.037, 0.7808303
32, 13.75044, 1472.825, 1477.938, 0.7833074
33, 13.54578, 1472.33, 1463.348, 0.7745239
34, 16.05515, 1471.195, 1486.481, 0.7634428
35, 16.40647, 1470.318, 1508.539, 0.7606525
36, 19.09666, 1468.044, 1513.355, 0.7446127
37, 28.17117, 1465.147, 1585.334, 0.7128615
38, 30.43763, 1459.661, 1585.094, 0.7213225
39, 24.29263, 1452.914, 1527.389, 0.7385413
40, 20.19639, 1445.471, 1555.797, 0.753706
41, 18.87974, 1437.983, 1606.13, 0.7628077
42, 14.25187, 1432.604, 1530.278, 0.7537487
43, 15.29118, 1430.037, 1538.872, 0.7530939
44, 12.50426, 1431.197, 1541.309, 0.7647032
45, 10.8804, 1437.573, 1516.596, 0.765422
46, 12.90549, 1445.837, 1520.932, 0.7593876
47, 13.9529, 1455.36, 1480.869, 0.7532861
48, 13.02221, 1459.836, 1408.556, 0.7696482
49, 13.08521, 1460.838, 1360.279, 0.7651518
50, 12.57646, 1459.375, 1380.742, 0.7634104
51, 13.07081, 1457.866, 1381.869, 0.7607181
52, 11.79947, 1457.382, 1354.871, 0.7570509
53, 9.932838, 1456.388, 1360.092, 0.7612597
54, 11.71649, 1460.579, 1483.338, 0.7514513
55, 13.6654, 1468.279, 1530.772, 0.7403529
56, 16.25915, 1484.677, 1526.161, 0.7355566
57, 15.26292, 1504.285, 1536.975, 0.7513257
58, 15.01791, 1526.016, 1547.288, 0.7489776
59, 11.99759, 1538.736, 1516.079, 0.7615478
60, 11.30308, 1541.375, 1551.446, 0.7645576
61, 13.40074, 1540.014, 1629.385, 0.7375153
62, 19.67408, 1540.828, 1707.097, 0.7284586
63, 23.44584, 1541.922, 1762.403, 0.6968035
64, 21.58384, 1542.629, 1679.27, 0.7177024
65, 17.31169, 1543.409, 1572.414, 0.7352718
66, 14.73667, 1544.246, 1492.178, 0.7365864
67, 16.04718, 1546.054, 1484.274, 0.717507
68, 16.37434, 1547.79, 1454.087, 0.720625
69, 18.01542, 1545.564, 1516.763, 0.701421
70, 20.52554, 1540.91, 1514.645, 0.714343
71, 20.47764, 1535.159, 1567.156, 0.7021777
72, 22.02258, 1531.542, 1567.886, 0.6777875
73, 22.4971, 1539.704, 1565.903, 0.7138822
74, 23.13025, 1556.486, 1467.443, 0.6883819
75, 25.2562, 1580.818, 1394.388, 0.7013311
76, 24.14082, 1609.483, 1297.311, 0.6897557
77, 28.52464, 1639.009, 1369.603, 0.6788749
78, 36.57519, 1664.017, 1452.758, 0.6562606
79, 37.32086, 1684.946, 1469.59, 0.635618
80, 30.5848, 1700.732, 1493.215, 0.6732594
81, 26.78316, 1710.775, 1544.285, 0.6769372
82, 25.69855, 1720.322, 1564.521, 0.6587793
83, 23.92029, 1718.401, 1565.081, 0.646628
84, 23.36042, 1710.709, 1546.351, 0.6731954
