record_point,rotation_different,animator_rotation,agent_rotation,reward
0, 0, 1432.988, 1432.99, 0.7906035
1, 3.158153, 1432.449, 1422.025, 0.7901647
2, 12.96563, 1432.189, 1529.256, 0.7396788
3, 14.06376, 1432.266, 1599.509, 0.7712231
4, 11.05145, 1433.04, 1582.789, 0.7433131
5, 9.524087, 1434.454, 1609.123, 0.7514023
6, 13.85579, 1435.877, 1784.261, 0.7641087
7, 12.89375, 1437.455, 1832.838, 0.7743352
8, 11.31166, 1439.272, 1731.11, 0.7694369
9, 11.30699, 1441.412, 1594.564, 0.7792011
10, 10.95042, 1443.876, 1536.065, 0.7793293
11, 10.99186, 1446.648, 1547.545, 0.7849649
12, 13.10337, 1449.682, 1485.912, 0.776768
13, 14.37442, 1452.991, 1430.6, 0.7766263
14, 13.00928, 1456.369, 1452.193, 0.7828153
15, 12.83465, 1459.862, 1518.698, 0.7823617
16, 16.75537, 1460.453, 1586.464, 0.7605395
17, 16.95321, 1459.813, 1542.405, 0.7790187
18, 14.08492, 1459.353, 1506.029, 0.7917129
19, 11.20428, 1459.453, 1451.275, 0.7985961
20, 9.30526, 1460.284, 1440.851, 0.8017247
21, 9.110371, 1460.725, 1463.48, 0.8020519
22, 8.988029, 1461.553, 1497.723, 0.8050665
23, 7.878141, 1462.025, 1496.95, 0.8062475
24, 7.182941, 1463.319, 1545.524, 0.8060113
25, 8.221906, 1465.317, 1589.125, 0.8037701
26, 10.7005, 1466.895, 1646.241, 0.7998371
27, 10.87581, 1469.078, 1633.259, 0.8022335
28, 10.14015, 1469.724, 1581.067, 0.8029754
29, 9.467922, 1470.535, 1559.922, 0.802943
30, 10.04869, 1471.967, 1533.679, 0.8013836
31, 11.01972, 1471.973, 1518.501, 0.8008664
32, 12.36462, 1472.825, 1525.188, 0.7985008
33, 11.35735, 1472.33, 1576.766, 0.7944331
34, 12.6981, 1471.195, 1606.25, 0.790969
35, 15.06489, 1470.318, 1643.984, 0.781238
36, 17.87221, 1468.044, 1696.951, 0.7758173
37, 19.27602, 1465.147, 1681.437, 0.774673
38, 18.28857, 1459.661, 1633.231, 0.7734441
39, 17.55967, 1452.914, 1618.821, 0.7737113
40, 14.40915, 1445.471, 1530.308, 0.7866462
41, 12.0076, 1437.983, 1473.554, 0.7898791
42, 11.66728, 1432.604, 1484.141, 0.7895172
43, 12.54154, 1430.037, 1532.72, 0.7875964
44, 13.88334, 1431.197, 1596.226, 0.7794035
45, 14.94851, 1437.573, 1651.993, 0.7639876
46, 15.7959, 1445.837, 1647.492, 0.772043
47, 17.32274, 1455.36, 1657.155, 0.7747622
48, 15.40838, 1459.836, 1603.959, 0.7811809
49, 12.17263, 1460.838, 1512.53, 0.7897881
50, 9.873041, 1459.375, 1440.262, 0.7903451
51, 10.28352, 1457.866, 1454.239, 0.7849216
52, 10.94545, 1457.382, 1457.92, 0.7922702
53, 10.18026, 1456.388, 1471.49, 0.7942708
54, 8.806942, 1460.579, 1501.234, 0.7854624
55, 10.57528, 1468.279, 1538.611, 0.7810307
56, 11.38485, 1484.677, 1533.198, 0.7803921
57, 10.71846, 1504.285, 1502.165, 0.7874429
58, 10.44372, 1526.016, 1449.978, 0.7868201
59, 10.26, 1538.736, 1419.169, 0.7862786
60, 10.08327, 1541.375, 1426.697, 0.7883934
61, 10.05337, 1540.014, 1456.47, 0.798604
62, 9.039785, 1540.828, 1487.446, 0.7983972
63, 9.168834, 1541.922, 1543.12, 0.7946135
64, 11.87734, 1542.629, 1578.32, 0.7859504
65, 12.56465, 1543.409, 1587.397, 0.7908772
66, 12.73159, 1544.246, 1562.61, 0.7914371
67, 12.87059, 1546.054, 1564.082, 0.7918935
68, 11.73772, 1547.79, 1542.231, 0.7913319
69, 10.33422, 1545.564, 1513.843, 0.7906169
70, 10.56273, 1540.91, 1490.47, 0.7889029
71, 11.40441, 1535.159, 1513.193, 0.7890916
72, 11.54497, 1531.542, 1519.694, 0.7910828
73, 10.85931, 1539.704, 1536.811, 0.7913723
74, 12.12988, 1556.486, 1558.342, 0.7866008
75, 12.69607, 1580.818, 1562.335, 0.7920152
76, 12.34336, 1609.483, 1529.656, 0.7907776
77, 12.00844, 1639.009, 1493.133, 0.7859755
78, 12.16448, 1664.017, 1480.797, 0.7794458
79, 12.83454, 1684.946, 1500.374, 0.7771407
80, 12.9327, 1700.732, 1528.777, 0.7813995
81, 11.79644, 1710.775, 1562.013, 0.7846783
82, 10.2287, 1720.322, 1554.385, 0.784204
83, 11.7349, 1718.401, 1546.009, 0.7778778
84, 14.67413, 1710.709, 1601.052, 0.7682288
85, 15.58544, 1703.536, 1626.549, 0.7655998
86, 14.1248, 1695.601, 1583.895, 0.7735009
87, 12.72941, 1686.872, 1507.962, 0.7734517
88, 11.40561, 1675.877, 1494.446, 0.7778082
89, 11.64869, 1666.47, 1507.2, 0.7825729
90, 11.43836, 1658.405, 1545.917, 0.784258
91, 12.26014, 1653.645, 1610.641, 0.7736851
92, 15.43205, 1650.115, 1626.055, 0.7604212
93, 18.11922, 1648.879, 1611.736, 0.761352
94, 17.28354, 1648.492, 1531.037, 0.7658904
95, 14.8062, 1648.364, 1422.756, 0.7684689
96, 13.4189, 1645.095, 1362.291, 0.7703415
97, 13.20451, 1641.973, 1403.215, 0.7761284
98, 13.32824, 1638.936, 1455.292, 0.7775317
99, 13.65545, 1635.949, 1508.227, 0.7678397
100, 16.64202, 1633.005, 1556.427, 0.762868
101, 17.32469, 1630.314, 1581.473, 0.7681118
102, 15.68638, 1627.733, 1562.587, 0.773548
103, 13.49248, 1625.263, 1539.143, 0.7764396
104, 11.64824, 1622.721, 1489.252, 0.779327
105, 11.383, 1620.138, 1486.604, 0.7853483
106, 11.51394, 1617.644, 1482.588, 0.7863336
107, 12.67671, 1615.332, 1539.1, 0.7742727
108, 15.16103, 1613.399, 1579.428, 0.7692313
