record_point,rotation_different,animator_rotation,agent_rotation,reward
0, 0, 1432.988, 1432.99, 0.7879759
1, 2.499607, 1432.449, 1390.707, 0.7970435
2, 11.5174, 1432.189, 1468.669, 0.7433713
3, 12.06342, 1432.266, 1527.642, 0.7731472
4, 9.81663, 1433.04, 1547.673, 0.73094
5, 11.52202, 1434.454, 1510.113, 0.7312207
6, 16.53399, 1435.877, 1655.214, 0.7538259
7, 13.90332, 1437.455, 1709.17, 0.7769268
8, 10.84234, 1439.272, 1616.082, 0.7696593
9, 8.68692, 1441.412, 1402.013, 0.7850029
10, 8.236917, 1443.876, 1382.005, 0.7962207
11, 13.42898, 1446.648, 1333.795, 0.7614471
12, 19.67216, 1449.682, 1331.162, 0.748274
13, 19.20468, 1452.991, 1337.168, 0.7658635
14, 15.95213, 1456.369, 1352.82, 0.7679232
15, 17.08146, 1459.862, 1388.471, 0.7645983
16, 17.5226, 1460.453, 1427.64, 0.7676674
17, 16.28533, 1459.813, 1380.572, 0.7725543
18, 18.03098, 1459.353, 1290.478, 0.7553564
19, 21.62909, 1459.453, 1297.189, 0.7391832
20, 26.00763, 1460.284, 1397.721, 0.7283902
21, 22.07844, 1460.725, 1375.432, 0.7311974
22, 16.4429, 1461.553, 1356.236, 0.7488033
23, 13.47324, 1462.025, 1326.681, 0.7512434
24, 12.89081, 1463.319, 1451.312, 0.7628178
25, 11.0406, 1465.317, 1581.266, 0.7798118
26, 11.20851, 1466.895, 1605.19, 0.793518
27, 12.08113, 1469.078, 1607.422, 0.7908968
28, 11.71705, 1469.724, 1520.277, 0.789766
29, 12.91046, 1470.535, 1436.893, 0.7751809
30, 13.31247, 1471.967, 1443.816, 0.7620558
31, 13.25998, 1471.973, 1515.587, 0.7463012
32, 13.77714, 1472.825, 1591.483, 0.7657337
33, 17.9173, 1472.33, 1632.307, 0.7491838
34, 21.51545, 1471.195, 1599.019, 0.730434
35, 21.37799, 1470.318, 1519.285, 0.7513699
36, 20.58227, 1468.044, 1374.934, 0.7611035
37, 20.99661, 1465.147, 1238.156, 0.7527253
38, 25.17468, 1459.661, 1225.681, 0.7360612
39, 30.10897, 1452.914, 1321.33, 0.7068482
40, 28.97094, 1445.471, 1346.174, 0.7096802
41, 21.4779, 1437.983, 1320.552, 0.72882
42, 18.766, 1432.604, 1343.491, 0.7384266
43, 22.10621, 1430.037, 1380.891, 0.7414141
44, 18.54654, 1431.197, 1336.179, 0.7480834
45, 15.08037, 1437.573, 1333.437, 0.759598
46, 11.59258, 1445.837, 1278.299, 0.7757283
47, 10.69887, 1455.36, 1299.607, 0.7666376
48, 11.02297, 1459.836, 1338.009, 0.770695
49, 9.429992, 1460.838, 1425.596, 0.7699456
50, 11.28307, 1459.375, 1504.724, 0.764746
51, 14.47374, 1457.866, 1569.953, 0.7607844
52, 16.36601, 1457.382, 1610.872, 0.7600704
53, 15.96821, 1456.388, 1492.671, 0.7555165
54, 12.28352, 1460.579, 1425.296, 0.7715741
55, 10.59711, 1468.279, 1410.406, 0.7629763
56, 10.33409, 1484.677, 1472.321, 0.7544808
57, 9.569421, 1504.285, 1600.115, 0.746592
58, 15.36942, 1526.016, 1649.016, 0.7295094
59, 22.80772, 1538.736, 1746.62, 0.7065808
60, 28.69738, 1541.375, 1719.321, 0.6857082
61, 23.06232, 1540.014, 1615.6, 0.7000166
62, 18.22787, 1540.828, 1595.07, 0.7120552
63, 0, 1432.988, 1432.99, 0.7120552
64, 0, 1432.988, 1432.99, 0.7860547
65, 3.751602, 1432.449, 1423.847, 0.705896
66, 5.327759, 1432.189, 1353.358, 0.7804593
67, 9.117039, 1432.266, 1363.708, 0.7754486
68, 9.997159, 1433.04, 1354.331, 0.7658323
69, 10.74123, 1434.454, 1300.807, 0.7724621
70, 10.50368, 1435.877, 1396.573, 0.7823141
71, 10.17161, 1437.455, 1329.034, 0.7887276
72, 10.07504, 1439.272, 1386.158, 0.789731
73, 13.42619, 1441.412, 1490.674, 0.7564799
74, 14.83578, 1443.876, 1465.957, 0.7718905
75, 13.20968, 1446.648, 1454.869, 0.77318
76, 8.667595, 1449.682, 1485.586, 0.7899593
77, 7.965104, 1452.991, 1550.834, 0.7913091
78, 8.559109, 1456.369, 1566.129, 0.7817715
79, 7.580223, 1459.862, 1541.453, 0.7994642
80, 6.382405, 1460.453, 1429.399, 0.8061092
81, 6.79462, 1459.813, 1333.701, 0.8030795
82, 10.08279, 1459.353, 1381.637, 0.7847489
83, 8.959903, 1459.453, 1433.25, 0.7934844
84, 7.406722, 1460.284, 1506.35, 0.7913558
85, 8.828849, 1460.725, 1570.197, 0.7833266
86, 9.055141, 1461.553, 1532.464, 0.8031037
87, 8.26594, 1462.025, 1498.266, 0.8061641
88, 7.865103, 1463.319, 1436.082, 0.8064459
89, 8.31832, 1465.317, 1389.539, 0.7998421
90, 10.9488, 1466.895, 1410.446, 0.7855757
91, 14.01958, 1469.078, 1489.597, 0.7790818
92, 14.27439, 1469.724, 1516.595, 0.7749698
93, 14.06899, 1470.535, 1531.612, 0.7721864
94, 17.74005, 1471.967, 1579.218, 0.7668538
95, 16.91554, 1471.973, 1572.784, 0.776023
96, 13.80103, 1472.825, 1495.635, 0.7834834
97, 10.46004, 1472.33, 1372.63, 0.7909303
98, 10.0921, 1471.195, 1369.525, 0.7900652
99, 14.00305, 1470.318, 1457.807, 0.7650034
100, 20.81418, 1468.044, 1560.539, 0.7444711
101, 20.44319, 1465.147, 1580.742, 0.7495387
102, 16.85927, 1459.661, 1541.679, 0.7596263
103, 16.72837, 1452.914, 1515.965, 0.7625788
104, 16.68683, 1445.471, 1557.687, 0.7596666
105, 18.19386, 1437.983, 1615.965, 0.7478497
106, 16.50489, 1432.604, 1586.234, 0.7765644
107, 14.9895, 1430.037, 1555.266, 0.7705504
108, 14.91483, 1431.197, 1531.863, 0.7682781
109, 15.3679, 1437.573, 1519.532, 0.7633772
110, 13.96475, 1445.837, 1532.815, 0.7710201
111, 13.42548, 1455.36, 1541.642, 0.7674219
112, 14.20211, 1459.836, 1537.719, 0.7381302
113, 16.23887, 1460.838, 1513.69, 0.7542696
114, 16.47472, 1459.375, 1471.179, 0.7706784
115, 14.18234, 1457.866, 1411.112, 0.7711778
116, 14.64344, 1457.382, 1443.52, 0.766486
117, 18.48545, 1456.388, 1510.103, 0.7534247
118, 19.86728, 1460.579, 1555.549, 0.7552687
119, 19.08938, 1468.279, 1592.071, 0.7526729
120, 19.26428, 1484.677, 1579.581, 0.7561542
121, 19.89946, 1504.285, 1549.354, 0.7514832
122, 18.95833, 1526.016, 1520.265, 0.7453639
123, 19.74179, 1538.736, 1428.577, 0.7513273
124, 20.95424, 1541.375, 1411.03, 0.7522699
125, 23.48713, 1540.014, 1404.454, 0.7395809
126, 26.78442, 1540.828, 1433.4, 0.7350861
127, 29.58765, 1541.922, 1452.639, 0.7313237
128, 26.98683, 1542.629, 1421.782, 0.7352466
129, 24.67757, 1543.409, 1421.03, 0.7243962
130, 24.2935, 1544.246, 1489.405, 0.715113
131, 23.28708, 1546.054, 1527.93, 0.7347682
132, 22.25583, 1547.79, 1491.805, 0.746406
133, 20.55076, 1545.564, 1494.377, 0.7454938
