record_point,rotation_different,animator_rotation,agent_rotation,reward
0, 0, 1432.988, 1432.99, 0.7912401
1, 3.721011, 1432.449, 1426.21, 0.7921102
2, 14.5462, 1432.189, 1546.804, 0.7299948
3, 15.54846, 1432.266, 1587.796, 0.769435
4, 12.47255, 1433.04, 1603.055, 0.7446268
5, 9.140044, 1434.454, 1546.447, 0.7307407
6, 12.80326, 1435.877, 1678.15, 0.7619692
7, 11.78996, 1437.455, 1713.381, 0.774984
8, 10.30094, 1439.272, 1636.138, 0.7654154
9, 12.50822, 1441.412, 1596.916, 0.7481467
10, 16.29483, 1443.876, 1608.254, 0.7494948
11, 12.91399, 1446.648, 1572.924, 0.7638021
12, 11.26224, 1449.682, 1515.005, 0.746985
13, 12.67744, 1452.991, 1458.74, 0.7694337
14, 15.10457, 1456.369, 1420.543, 0.7689409
15, 12.43309, 1459.862, 1392.149, 0.77515
16, 9.44099, 1460.453, 1381.953, 0.7836718
17, 8.711556, 1459.813, 1371.843, 0.7679796
18, 11.62386, 1459.353, 1316.58, 0.7806432
19, 12.37296, 1459.453, 1302.043, 0.7877673
20, 11.267, 1460.284, 1337.274, 0.7880318
21, 10.13466, 1460.725, 1385.256, 0.7905458
22, 12.81959, 1461.553, 1501.659, 0.7575322
23, 9.914943, 1462.025, 1414.182, 0.7686437
24, 10.03206, 1463.319, 1464.832, 0.7834304
25, 9.947742, 1465.317, 1532.154, 0.7843626
26, 11.43916, 1466.895, 1566.667, 0.7716478
27, 14.66918, 1469.078, 1596.084, 0.7655267
28, 15.94689, 1469.724, 1636.861, 0.7636827
29, 14.58196, 1470.535, 1578.607, 0.7741657
30, 12.55697, 1471.967, 1521.382, 0.7784353
31, 11.77583, 1471.973, 1494.823, 0.7686177
32, 12.58043, 1472.825, 1510.413, 0.7650605
33, 11.94895, 1472.33, 1563.409, 0.7748115
34, 11.49621, 1471.195, 1527.038, 0.7785828
35, 12.15642, 1470.318, 1549.71, 0.7716796
36, 17.59781, 1468.044, 1589.838, 0.746556
37, 23.81163, 1465.147, 1686.629, 0.7374898
38, 26.38979, 1459.661, 1629.151, 0.7396023
39, 24.18223, 1452.914, 1627.544, 0.7442266
40, 19.89912, 1445.471, 1554.623, 0.7593343
41, 15.09817, 1437.983, 1481.219, 0.7746862
42, 12.07703, 1432.604, 1436.186, 0.77913
43, 11.49819, 1430.037, 1461.655, 0.7848465
44, 10.74773, 1431.197, 1469.047, 0.7749307
45, 9.926682, 1437.573, 1458.172, 0.7818429
46, 11.48286, 1445.837, 1460.771, 0.7819842
47, 12.15801, 1455.36, 1482.54, 0.7912382
48, 9.586968, 1459.836, 1462.345, 0.7903319
49, 8.379376, 1460.838, 1431.677, 0.7888693
50, 9.059443, 1459.375, 1477.88, 0.7843162
51, 10.80166, 1457.866, 1553.39, 0.781268
52, 11.4657, 1457.382, 1638.997, 0.779982
53, 11.16769, 1456.388, 1666.604, 0.7803003
54, 11.01395, 1460.579, 1681.833, 0.7747973
55, 11.02634, 1468.279, 1688.169, 0.7719907
56, 10.55941, 1484.677, 1654.457, 0.7725796
57, 9.329706, 1504.285, 1569.608, 0.7822605
58, 9.534522, 1526.016, 1507.912, 0.7838465
59, 9.83951, 1538.736, 1513.707, 0.7864459
60, 11.48389, 1541.375, 1551.932, 0.7848281
61, 9.439216, 1540.014, 1514.549, 0.7843931
62, 9.750507, 1540.828, 1534.55, 0.7805142
63, 14.68686, 1541.922, 1611.583, 0.7617632
64, 16.27847, 1542.629, 1609.496, 0.7769092
65, 16.41535, 1543.409, 1574.119, 0.7770944
66, 15.60234, 1544.246, 1556.182, 0.7771187
67, 13.78781, 1546.054, 1544.321, 0.779754
68, 12.55587, 1547.79, 1532.483, 0.7786878
69, 12.7397, 1545.564, 1557.057, 0.7713852
70, 13.9063, 1540.91, 1572.575, 0.7634917
71, 11.98568, 1535.159, 1548.153, 0.7690809
72, 10.7314, 1531.542, 1558.352, 0.7697112
73, 11.33434, 1539.704, 1570.586, 0.7803221
74, 14.03849, 1556.486, 1619.528, 0.7728475
75, 14.09101, 1580.818, 1631.835, 0.7841452
76, 13.40352, 1609.483, 1596.538, 0.7846726
77, 12.39995, 1639.009, 1562.363, 0.7810584
78, 11.58972, 1664.017, 1535.643, 0.7832929
79, 12.21154, 1684.946, 1524.374, 0.7842282
80, 13.35892, 1700.732, 1524.722, 0.7831886
81, 12.50735, 1710.775, 1520.146, 0.779691
82, 11.43974, 1720.322, 1504.916, 0.7746506
83, 12.64519, 1718.401, 1548.737, 0.7727131
84, 14.60187, 1710.709, 1622.019, 0.7747803
85, 15.43066, 1703.536, 1642.881, 0.7770882
86, 16.45761, 1695.601, 1622.253, 0.7724082
87, 17.21081, 1686.872, 1567.899, 0.7664074
88, 15.93045, 1675.877, 1472.925, 0.7697974
89, 14.78302, 1666.47, 1476.496, 0.7694777
90, 13.53653, 1658.405, 1506.112, 0.7766582
91, 11.9989, 1653.645, 1549.521, 0.7844085
92, 12.52094, 1650.115, 1614.597, 0.7797999
93, 13.99493, 1648.879, 1650.718, 0.7723933
94, 17.59302, 1648.492, 1672.368, 0.7627763
95, 21.64536, 1648.364, 1711.288, 0.7568651
96, 21.57195, 1645.095, 1661.964, 0.7595434
97, 19.59077, 1641.973, 1598.43, 0.7651867
98, 16.13585, 1638.936, 1526.265, 0.7701629
99, 14.36563, 1635.949, 1496.26, 0.7746535
100, 13.34313, 1633.005, 1532.839, 0.7752944
101, 13.07077, 1630.314, 1548.531, 0.7801105
102, 13.13591, 1627.733, 1561.386, 0.7657173
103, 14.65843, 1625.263, 1583.751, 0.7692558
104, 17.48443, 1622.721, 1619.936, 0.7626976
105, 22.48387, 1620.138, 1697.293, 0.7520037
106, 22.24518, 1617.644, 1697.18, 0.7586504
107, 20.20335, 1615.332, 1618.583, 0.7606686
108, 18.89294, 1613.399, 1612.647, 0.7582799
109, 16.29593, 1611.845, 1543.457, 0.7690707
110, 14.36967, 1610.671, 1525.594, 0.7726471
