record_point,rotation_different,animator_rotation,agent_rotation,reward
0, 0, 25.01035, 25.0104, 0.7860444
1, 4.154255, 25.00096, 24.61577, 0.7821403
2, 11.96517, 24.99641, 26.46943, 0.7492074
3, 12.81093, 24.99776, 28.30283, 0.7723289
4, 9.599575, 25.01127, 28.45792, 0.7516326
5, 11.47223, 25.03595, 28.30296, 0.731575
6, 16.09817, 25.06079, 30.04957, 0.7640887
7, 13.96183, 25.08832, 30.40492, 0.7704535
8, 12.49501, 25.12004, 29.32134, 0.7495843
9, 10.1116, 25.15739, 25.28254, 0.7757664
10, 8.903162, 25.2004, 25.44503, 0.801869
11, 8.270906, 25.24876, 24.4094, 0.79455
12, 9.825684, 25.30173, 24.20333, 0.7890403
13, 14.61603, 25.35948, 24.50671, 0.7753729
14, 13.13316, 25.41844, 24.28522, 0.7824737
15, 10.02324, 25.4794, 24.19141, 0.7920166
16, 9.732016, 25.48972, 24.77549, 0.7857809
17, 11.08791, 25.47855, 25.62841, 0.7887148
18, 10.72497, 25.47052, 25.2431, 0.8035575
19, 9.918934, 25.47226, 24.7448, 0.8022679
20, 10.45273, 25.48676, 24.50172, 0.7980872
21, 11.33519, 25.49447, 24.54571, 0.7961324
22, 12.65486, 25.50891, 25.09163, 0.7966167
23, 12.40842, 25.51715, 25.96228, 0.7963042
24, 10.83326, 25.53973, 26.71857, 0.796241
25, 9.822608, 25.57461, 26.42192, 0.7965285
26, 10.61205, 25.60215, 26.91581, 0.7913079
27, 10.41912, 25.64026, 26.50285, 0.7977839
28, 10.22314, 25.65152, 25.5463, 0.795603
29, 9.757713, 25.66568, 24.5646, 0.7928926
30, 10.46922, 25.69068, 24.02649, 0.788874
31, 12.11642, 25.69078, 24.8141, 0.7798679
32, 11.72304, 25.70564, 24.77443, 0.7770889
33, 11.24941, 25.69701, 24.94618, 0.7764982
34, 12.72426, 25.67719, 25.03275, 0.778782
35, 12.95286, 25.6619, 25.47195, 0.7855794
36, 11.97238, 25.6222, 24.43644, 0.7880321
37, 11.04644, 25.57164, 23.37955, 0.7840257
38, 11.96739, 25.47588, 23.74931, 0.7789955
39, 12.69077, 25.35814, 24.64092, 0.7732533
40, 10.81023, 25.22822, 25.41779, 0.7666676
41, 9.677738, 25.09754, 25.95129, 0.768598
42, 12.70206, 25.00366, 26.40102, 0.7459025
43, 12.40102, 24.95886, 25.63879, 0.7679185
44, 9.38347, 24.9791, 24.15639, 0.7828118
45, 8.538805, 25.09037, 23.56303, 0.7840905
46, 9.689292, 25.23462, 24.22603, 0.7793767
47, 10.3146, 25.40082, 24.42953, 0.7788305
48, 9.451805, 25.47895, 24.81278, 0.7764169
49, 8.766834, 25.49643, 24.9513, 0.7734829
50, 10.4638, 25.4709, 25.37406, 0.7719409
51, 10.8889, 25.44456, 24.57407, 0.7819188
52, 9.635192, 25.43611, 24.47243, 0.7861276
53, 8.255604, 25.41876, 23.96488, 0.7876415
54, 7.554257, 25.49192, 23.78789, 0.7807024
55, 9.36517, 25.6263, 24.2311, 0.7706853
56, 10.95151, 25.9125, 24.86092, 0.7672614
57, 10.96964, 26.25473, 24.03136, 0.7648001
58, 11.03543, 26.634, 23.97927, 0.7529366
59, 13.14494, 26.85601, 24.38593, 0.7597626
60, 15.34597, 26.90207, 24.79758, 0.766939
61, 15.78501, 26.87832, 25.41954, 0.7672862
62, 14.72331, 26.89253, 25.85077, 0.7692695
63, 12.94834, 26.91162, 25.85854, 0.7684872
64, 12.5776, 26.92395, 25.19564, 0.7643403
65, 13.63382, 26.93757, 24.98049, 0.7635221
66, 13.12915, 26.95218, 24.54602, 0.7632547
67, 12.13152, 26.98373, 25.07332, 0.7675982
68, 12.55548, 27.01403, 25.3049, 0.7501881
69, 12.09807, 26.97517, 24.69667, 0.770259
70, 10.63582, 26.89395, 23.86431, 0.7737394
71, 10.90348, 26.79358, 24.05988, 0.7758686
72, 12.68896, 26.73046, 25.9783, 0.7701243
73, 11.90298, 26.8729, 26.59219, 0.7750045
74, 12.42109, 27.16581, 27.63482, 0.7594889
75, 13.46508, 27.59048, 26.95979, 0.7648368
76, 13.13447, 28.09078, 26.24433, 0.7700153
77, 12.62466, 28.60611, 25.17498, 0.7687725
78, 12.35242, 29.04257, 24.07849, 0.7653545
79, 12.4112, 29.40786, 24.08908, 0.767987
80, 13.04536, 29.68337, 24.57722, 0.7711664
81, 12.62312, 29.85865, 24.49135, 0.7765803
82, 12.61141, 30.02527, 24.75094, 0.7726177
83, 14.92369, 29.99176, 25.42798, 0.7653779
84, 19.12878, 29.85751, 26.65413, 0.7539825
85, 19.66294, 29.73231, 26.95617, 0.7558593
86, 18.90245, 29.59382, 26.66735, 0.7553568
87, 16.18179, 29.44147, 25.50999, 0.7590296
88, 13.90569, 29.24958, 24.67959, 0.7681037
89, 13.99808, 29.08539, 25.40224, 0.7730626
90, 14.03209, 28.94463, 26.0424, 0.7739764
91, 15.28546, 28.86156, 27.10595, 0.7723615
92, 17.33921, 28.79994, 27.73474, 0.7599108
93, 20.01963, 28.77836, 27.96959, 0.7573642
