record_point,rotation_different,animator_rotation,agent_rotation,reward
0, 0, 25.01035, 25.0104, 0.7906035
1, 3.158153, 25.00096, 24.81901, 0.7901647
2, 12.96563, 24.99641, 26.69055, 0.7396788
3, 14.06376, 24.99776, 27.9167, 0.7712231
4, 11.05145, 25.01127, 27.62488, 0.7433131
5, 9.524087, 25.03595, 28.08448, 0.7514023
6, 13.85579, 25.06079, 31.14123, 0.7641087
7, 12.89375, 25.08832, 31.98905, 0.7743352
8, 11.31166, 25.12004, 30.21358, 0.7694369
9, 11.30699, 25.15739, 27.83039, 0.7792011
10, 10.95042, 25.2004, 26.80939, 0.7793293
11, 10.99186, 25.24876, 27.00976, 0.7849649
12, 13.10337, 25.30173, 25.93406, 0.776768
13, 14.37442, 25.35948, 24.96867, 0.7766263
14, 13.00928, 25.41844, 25.34554, 0.7828153
15, 12.83465, 25.4794, 26.50628, 0.7823617
16, 16.75537, 25.48972, 27.68901, 0.7605395
17, 16.95321, 25.47855, 26.92005, 0.7790187
18, 14.08492, 25.47052, 26.28516, 0.7917129
19, 11.20428, 25.47226, 25.32952, 0.7985961
20, 9.30526, 25.48676, 25.1476, 0.8017247
21, 9.110371, 25.49447, 25.54255, 0.8020519
22, 8.988029, 25.50891, 26.14019, 0.8050665
23, 7.878141, 25.51715, 26.12671, 0.8062475
24, 7.182941, 25.53973, 26.97448, 0.8060113
25, 8.221906, 25.57461, 27.73547, 0.8037701
26, 10.7005, 25.60215, 28.73232, 0.7998371
27, 10.87581, 25.64026, 28.50575, 0.8022335
28, 10.14015, 25.65152, 27.59483, 0.8029754
29, 9.467922, 25.66568, 27.22578, 0.802943
30, 10.04869, 25.69068, 26.76774, 0.8013836
31, 11.01972, 25.69078, 26.50284, 0.8008664
32, 12.36462, 25.70564, 26.61955, 0.7985008
33, 11.35735, 25.69701, 27.51977, 0.7944331
34, 12.6981, 25.67719, 28.03434, 0.790969
35, 15.06489, 25.6619, 28.69293, 0.781238
36, 17.87221, 25.6222, 29.61739, 0.7758173
37, 19.27602, 25.57164, 29.34661, 0.774673
38, 18.28857, 25.47588, 28.50525, 0.7734441
39, 17.55967, 25.35814, 28.25375, 0.7737113
40, 14.40915, 25.22822, 26.70892, 0.7866462
41, 12.0076, 25.09754, 25.71836, 0.7898791
42, 11.66728, 25.00366, 25.90314, 0.7895172
43, 12.54154, 24.95886, 26.75102, 0.7875964
44, 13.88334, 24.9791, 27.85939, 0.7794035
45, 14.94851, 25.09037, 28.83273, 0.7639876
46, 15.7959, 25.23462, 28.75416, 0.772043
47, 17.32274, 25.40082, 28.9228, 0.7747622
48, 15.40838, 25.47895, 27.99436, 0.7811809
49, 12.17263, 25.49643, 26.39863, 0.7897881
50, 9.873041, 25.4709, 25.13732, 0.7903451
51, 10.28352, 25.44456, 25.38125, 0.7849216
52, 10.94545, 25.43611, 25.44551, 0.7922702
53, 10.18026, 25.41876, 25.68235, 0.7942708
54, 8.806942, 25.49192, 26.20148, 0.7854624
55, 10.57528, 25.6263, 26.85383, 0.7810307
56, 11.38485, 25.9125, 26.75935, 0.7803921
57, 10.71846, 26.25473, 26.21773, 0.7874429
58, 10.44372, 26.634, 25.30689, 0.7868201
59, 10.26, 26.85601, 24.76917, 0.7862786
60, 10.08327, 26.90207, 24.90055, 0.7883934
61, 10.05337, 26.87832, 25.42019, 0.798604
62, 9.039785, 26.89253, 25.96083, 0.7983972
63, 9.168834, 26.91162, 26.93253, 0.7946135
64, 11.87734, 26.92395, 27.54688, 0.7859504
65, 12.56465, 26.93757, 27.7053, 0.7908772
66, 12.73159, 26.95218, 27.2727, 0.7914371
67, 12.87059, 26.98373, 27.29837, 0.7918935
68, 11.73772, 27.01403, 26.91701, 0.7913319
69, 10.33422, 26.97517, 26.42155, 0.7906169
70, 10.56273, 26.89395, 26.0136, 0.7889029
71, 11.40441, 26.79358, 26.41019, 0.7890916
72, 11.54497, 26.73046, 26.52366, 0.7910828
73, 10.85931, 26.8729, 26.82241, 0.7913723
74, 12.12988, 27.16581, 27.19821, 0.7866008
75, 12.69607, 27.59048, 27.26789, 0.7920152
76, 12.34336, 28.09078, 26.69753, 0.7907776
77, 12.00844, 28.60611, 26.06008, 0.7859755
78, 12.16448, 29.04257, 25.84478, 0.7794458
79, 12.83454, 29.40786, 26.18647, 0.7771407
80, 12.9327, 29.68337, 26.68219, 0.7813995
81, 11.79644, 29.85865, 27.26227, 0.7846783
82, 10.2287, 30.02527, 27.12913, 0.784204
83, 11.7349, 29.99176, 26.98295, 0.7778778
84, 14.67413, 29.85751, 27.94363, 0.7682288
85, 15.58544, 29.73231, 28.38864, 0.7655998
86, 14.1248, 29.59382, 27.64419, 0.7735009
87, 12.72941, 29.44147, 26.3189, 0.7734517
88, 11.40561, 29.24958, 26.08301, 0.7778082
89, 11.64869, 29.08539, 26.3056, 0.7825729
90, 11.43836, 28.94463, 26.98135, 0.784258
91, 12.26014, 28.86156, 28.11099, 0.7736851
92, 15.43205, 28.79994, 28.38002, 0.7604212
93, 18.11922, 28.77836, 28.1301, 0.761352
94, 17.28354, 28.77162, 26.72163, 0.7658904
95, 14.8062, 28.76938, 24.83178, 0.7684689
96, 13.4189, 28.71233, 23.77646, 0.7703415
97, 13.20451, 28.65784, 24.49072, 0.7761284
98, 13.32824, 28.60483, 25.39964, 0.7775317
99, 13.65545, 28.5527, 26.32352, 0.7678397
100, 16.64202, 28.50132, 27.16477, 0.762868
101, 17.32469, 28.45435, 27.6019, 0.7681118
102, 15.68638, 28.4093, 27.27229, 0.773548
103, 13.49248, 28.3662, 26.86311, 0.7764396
104, 11.64824, 28.32182, 25.99235, 0.779327
105, 11.383, 28.27675, 25.94613, 0.7853483
106, 11.51394, 28.23322, 25.87605, 0.7863336
107, 12.67671, 28.19286, 26.86236, 0.7742727
108, 15.16103, 28.15913, 27.56622, 0.7692313
109, 18.82519, 28.13201, 28.31559, 0.7620194
110, 18.9777, 28.11151, 28.54526, 0.7653117
111, 17.39154, 28.09829, 27.69813, 0.7686547
112, 15.69263, 28.09015, 26.90702, 0.7710592
113, 14.82539, 28.08785, 26.69992, 0.7734908
114, 15.78226, 28.08939, 27.35857, 0.7714314
