record_point,rotation_different,animator_rotation,agent_rotation,reward
0, 0, 25.01035, 25.0104, 0.7879759
1, 2.499607, 25.00096, 24.27241, 0.7970435
2, 11.5174, 24.99641, 25.63312, 0.7433713
3, 12.06342, 24.99776, 26.66239, 0.7731472
4, 9.81663, 25.01127, 27.012, 0.73094
5, 11.52202, 25.03595, 26.35644, 0.7312207
6, 16.53399, 25.06079, 28.88894, 0.7538259
7, 13.90332, 25.08832, 29.83064, 0.7769268
8, 10.84234, 25.12004, 28.20595, 0.7696593
9, 8.68692, 25.15739, 24.46975, 0.7850029
10, 8.236917, 25.2004, 24.12053, 0.7962207
11, 13.42898, 25.24876, 23.2791, 0.7614471
12, 19.67216, 25.30173, 23.23316, 0.748274
13, 19.20468, 25.35948, 23.33798, 0.7658635
14, 15.95213, 25.41844, 23.61117, 0.7679232
15, 17.08146, 25.4794, 24.23339, 0.7645983
16, 17.5226, 25.48972, 24.91702, 0.7676674
17, 16.28533, 25.47855, 24.09554, 0.7725543
18, 18.03098, 25.47052, 22.52309, 0.7553564
19, 21.62909, 25.47226, 22.64021, 0.7391832
20, 26.00763, 25.48676, 24.39483, 0.7283902
21, 22.07844, 25.49447, 24.00581, 0.7311974
22, 16.4429, 25.50891, 23.67079, 0.7488033
23, 13.47324, 25.51715, 23.15495, 0.7512434
24, 12.89081, 25.53973, 25.33017, 0.7628178
25, 11.0406, 25.57461, 27.5983, 0.7798118
26, 11.20851, 25.60215, 28.01584, 0.793518
27, 12.08113, 25.64026, 28.0548, 0.7908968
28, 11.71705, 25.65152, 26.53383, 0.789766
29, 12.91046, 25.66568, 25.0785, 0.7751809
30, 13.31247, 25.69068, 25.19934, 0.7620558
31, 13.25998, 25.69078, 26.45198, 0.7463012
32, 13.77714, 25.70564, 27.77661, 0.7657337
33, 17.9173, 25.69701, 28.48914, 0.7491838
34, 21.51545, 25.67719, 27.90816, 0.730434
35, 21.37799, 25.6619, 26.51653, 0.7513699
36, 20.58227, 25.6222, 23.99713, 0.7611035
37, 20.99661, 25.57164, 21.6099, 0.7527253
38, 25.17468, 25.47588, 21.39217, 0.7360612
39, 30.10897, 25.35814, 23.06156, 0.7068482
40, 28.97094, 25.22822, 23.49516, 0.7096802
41, 21.4779, 25.09754, 23.04798, 0.72882
42, 18.766, 25.00366, 23.44834, 0.7384266
43, 22.10621, 24.95886, 24.10109, 0.7414141
44, 18.54654, 24.9791, 23.32073, 0.7480834
45, 15.08037, 25.09037, 23.27287, 0.759598
46, 11.59258, 25.23462, 22.31052, 0.7757283
47, 10.69887, 25.40082, 22.68242, 0.7666376
48, 11.02297, 25.47895, 23.35265, 0.770695
49, 9.429992, 25.49643, 24.88134, 0.7699456
50, 11.28307, 25.4709, 26.2624, 0.764746
51, 14.47374, 25.44456, 27.40084, 0.7607844
52, 16.36601, 25.43611, 28.11502, 0.7600704
53, 15.96821, 25.41876, 26.05202, 0.7555165
54, 12.28352, 25.49192, 24.87611, 0.7715741
55, 10.59711, 25.6263, 24.61623, 0.7629763
56, 10.33409, 25.9125, 25.69685, 0.7544808
57, 9.569421, 26.25473, 27.92727, 0.746592
58, 15.36942, 26.634, 28.78076, 0.7295094
59, 22.80772, 26.85601, 30.48428, 0.7065808
60, 28.69738, 26.90207, 30.0078, 0.6857082
61, 23.06232, 26.87832, 28.19753, 0.7000166
62, 18.22787, 26.89253, 27.83922, 0.7120552
63, 0, 25.01035, 25.0104, 0.7120552
64, 0, 25.01035, 25.0104, 0.7860547
65, 3.751602, 25.00096, 24.85082, 0.705896
66, 5.327759, 24.99641, 23.62056, 0.7804593
67, 9.117039, 24.99776, 23.80119, 0.7754486
68, 9.997159, 25.01127, 23.63754, 0.7658323
69, 10.74123, 25.03595, 22.70336, 0.7724621
70, 10.50368, 25.06079, 24.3748, 0.7823141
71, 10.17161, 25.08832, 23.19602, 0.7887276
72, 10.07504, 25.12004, 24.19302, 0.789731
73, 13.42619, 25.15739, 26.01717, 0.7564799
74, 14.83578, 25.2004, 25.58577, 0.7718905
75, 13.20968, 25.24876, 25.39226, 0.77318
76, 8.667595, 25.30173, 25.92837, 0.7899593
77, 7.965104, 25.35948, 27.06716, 0.7913091
78, 8.559109, 25.41844, 27.3341, 0.7817715
79, 7.580223, 25.4794, 26.90342, 0.7994642
80, 6.382405, 25.48972, 24.94772, 0.8061092
81, 6.79462, 25.47855, 23.27747, 0.8030795
82, 10.08279, 25.47052, 24.11411, 0.7847489
83, 8.959903, 25.47226, 25.01494, 0.7934844
84, 7.406722, 25.48676, 26.29077, 0.7913558
85, 8.828849, 25.49447, 27.40511, 0.7833266
86, 9.055141, 25.50891, 26.74654, 0.8031037
87, 8.26594, 25.51715, 26.14968, 0.8061641
88, 7.865103, 25.53973, 25.06437, 0.8064459
89, 8.31832, 25.57461, 24.25203, 0.7998421
90, 10.9488, 25.60215, 24.61692, 0.7855757
91, 14.01958, 25.64026, 25.99837, 0.7790818
92, 14.27439, 25.65152, 26.46958, 0.7749698
93, 14.06899, 25.66568, 26.73167, 0.7721864
94, 17.74005, 25.69068, 27.56255, 0.7668538
95, 16.91554, 25.69078, 27.45026, 0.776023
