record_point,rotation_different,animator_rotation,agent_rotation,reward
0, 0, 25.01035, 25.0104, 0.7912401
1, 3.721011, 25.00096, 24.89206, 0.7921102
2, 14.5462, 24.99641, 26.99682, 0.7299948
3, 15.54846, 24.99776, 27.71226, 0.769435
4, 12.47255, 25.01127, 27.97859, 0.7446268
5, 9.140044, 25.03595, 26.99059, 0.7307407
6, 12.80326, 25.06079, 29.28923, 0.7619692
7, 11.78996, 25.08832, 29.90413, 0.774984
8, 10.30094, 25.12004, 28.55599, 0.7654154
9, 12.50822, 25.15739, 27.87145, 0.7481467
10, 16.29483, 25.2004, 28.06933, 0.7494948
11, 12.91399, 25.24876, 27.4527, 0.7638021
12, 11.26224, 25.30173, 26.44183, 0.746985
13, 12.67744, 25.35948, 25.45983, 0.7694337
14, 15.10457, 25.41844, 24.79314, 0.7689409
15, 12.43309, 25.4794, 24.29758, 0.77515
16, 9.44099, 25.48972, 24.11964, 0.7836718
17, 8.711556, 25.47855, 23.94318, 0.7679796
18, 11.62386, 25.47052, 22.97866, 0.7806432
19, 12.37296, 25.47226, 22.72494, 0.7877673
20, 11.267, 25.48676, 23.33983, 0.7880318
21, 10.13466, 25.49447, 24.17728, 0.7905458
22, 12.81959, 25.50891, 26.20889, 0.7575322
23, 9.914943, 25.51715, 24.68213, 0.7686437
24, 10.03206, 25.53973, 25.56614, 0.7834304
25, 9.947742, 25.57461, 26.74113, 0.7843626
26, 11.43916, 25.60215, 27.3435, 0.7716478
27, 14.66918, 25.64026, 27.85692, 0.7655267
28, 15.94689, 25.65152, 28.56861, 0.7636827
29, 14.58196, 25.66568, 27.55189, 0.7741657
30, 12.55697, 25.69068, 26.55313, 0.7784353
31, 11.77583, 25.69078, 26.08959, 0.7686177
32, 12.58043, 25.70564, 26.36169, 0.7650605
33, 11.94895, 25.69701, 27.28663, 0.7748115
34, 11.49621, 25.67719, 26.65184, 0.7785828
35, 12.15642, 25.6619, 27.04755, 0.7716796
36, 17.59781, 25.6222, 27.7479, 0.746556
37, 23.81163, 25.57164, 29.43723, 0.7374898
38, 26.38979, 25.47588, 28.43405, 0.7396023
39, 24.18223, 25.35814, 28.40601, 0.7442266
40, 19.89912, 25.22822, 27.13329, 0.7593343
41, 15.09817, 25.09754, 25.85215, 0.7746862
42, 12.07703, 25.00366, 25.06618, 0.77913
43, 11.49819, 24.95886, 25.51069, 0.7848465
44, 10.74773, 24.9791, 25.6397, 0.7749307
45, 9.926682, 25.09037, 25.4499, 0.7818429
46, 11.48286, 25.23462, 25.49526, 0.7819842
47, 12.15801, 25.40082, 25.87521, 0.7912382
48, 9.586968, 25.47895, 25.52273, 0.7903319
49, 8.379376, 25.49643, 24.98747, 0.7888693
50, 9.059443, 25.4709, 25.79387, 0.7843162
51, 10.80166, 25.44456, 27.11178, 0.781268
52, 11.4657, 25.43611, 28.60589, 0.779982
53, 11.16769, 25.41876, 29.08772, 0.7803003
54, 11.01395, 25.49192, 29.35352, 0.7747973
55, 11.02634, 25.6263, 29.46411, 0.7719907
56, 10.55941, 25.9125, 28.87571, 0.7725796
57, 9.329706, 26.25473, 27.39483, 0.7822605
58, 9.534522, 26.634, 26.31803, 0.7838465
59, 9.83951, 26.85601, 26.41917, 0.7864459
60, 11.48389, 26.90207, 27.08632, 0.7848281
61, 9.439216, 26.87832, 26.43388, 0.7843931
62, 9.750507, 26.89253, 26.78295, 0.7805142
63, 14.68686, 26.91162, 28.12742, 0.7617632
64, 16.27847, 26.92395, 28.091, 0.7769092
65, 16.41535, 26.93757, 27.47357, 0.7770944
66, 15.60234, 26.95218, 27.1605, 0.7771187
67, 13.78781, 26.98373, 26.95348, 0.779754
68, 12.55587, 27.01403, 26.74688, 0.7786878
69, 12.7397, 26.97517, 27.17576, 0.7713852
70, 13.9063, 26.89395, 27.44661, 0.7634917
71, 11.98568, 26.79358, 27.02037, 0.7690809
72, 10.7314, 26.73046, 27.19837, 0.7697112
73, 11.33434, 26.8729, 27.4119, 0.7803221
74, 14.03849, 27.16581, 28.2661, 0.7728475
75, 14.09101, 27.59048, 28.48089, 0.7841452
76, 13.40352, 28.09078, 27.86485, 0.7846726
77, 12.39995, 28.60611, 27.26838, 0.7810584
78, 11.58972, 29.04257, 26.80203, 0.7832929
79, 12.21154, 29.40786, 26.60534, 0.7842282
80, 13.35892, 29.68337, 26.61142, 0.7831886
81, 12.50735, 29.85865, 26.53154, 0.779691
82, 11.43974, 30.02527, 26.26574, 0.7746506
83, 12.64519, 29.99176, 27.03056, 0.7727131
84, 14.60187, 29.85751, 28.30956, 0.7747803
85, 15.43066, 29.73231, 28.67368, 0.7770882
86, 16.45761, 29.59382, 28.31366, 0.7724082
87, 17.21081, 29.44147, 27.36501, 0.7664074
88, 15.93045, 29.24958, 25.7074, 0.7697974
89, 14.78302, 29.08539, 25.76972, 0.7694777
90, 13.53653, 28.94463, 26.28662, 0.7766582
91, 11.9989, 28.86156, 27.04425, 0.7844085
92, 12.52094, 28.79994, 28.18004, 0.7797999
93, 13.99493, 28.77836, 28.81046, 0.7723933
94, 17.59302, 28.77162, 29.18834, 0.7627763
95, 21.64536, 28.76938, 29.86761, 0.7568651
96, 21.57195, 28.71233, 29.00674, 0.7595434
97, 19.59077, 28.65784, 27.89786, 0.7651867
98, 16.13585, 28.60483, 26.63836, 0.7701629
99, 14.36563, 28.5527, 26.11467, 0.7746535
100, 13.34313, 28.50132, 26.75309, 0.7752944
101, 13.07077, 28.45435, 27.02696, 0.7801105
102, 13.13591, 28.4093, 27.25132, 0.7657173
103, 14.65843, 28.3662, 27.64166, 0.7692558
104, 17.48443, 28.32182, 28.27321, 0.7626976
105, 22.48387, 28.27675, 29.62334, 0.7520037
